Sample,EquilibriumCount,StableEquilibriumCount,HasPhysicalBistability,LowerFoldSodium0,UpperFoldSodium0,UpperFoldSodium02,SodiumFoldChange,SodiumComparisonAvailable,SodiumDirectionPreserved,UnexpectedStability,OscillatoryInstability,UnexpectedFoldGeometry,alphaMultiplier,betaMultiplier,kaMultiplier,r0Multiplier,krMultiplier,KrMultiplier,prMultiplier,KsMultiplier,nsMultiplier,fminMultiplier,KfMultiplier,nfMultiplier,gzMultiplier,kzMultiplier,KzMultiplier,nzMultiplier
11,3,2,1,-1.45426178560956,0.233266343712167,0.105201049560206,-0.12806529415196,1,1,0,0,0,0.980452850718692,0.96624457585222,0.854209658920591,0.919307732642447,1.04710587956393,0.99066641628089,1.10337147021545,0.837417462641402,0.814161216346344,1.03822912837135,0.896912710299663,1.17484834142603,1.07739009265952,0.88636119738012,1.05054211885173,0.954518252975217
12,3,2,1,-0.876732530989338,0.313915981578165,0.191951206119406,-0.121964775458759,1,1,0,0,0,1.11088383964719,1.06893727275952,1.09038117020671,0.88184035949766,1.00256301701717,0.88142906626999,1.19980233483386,0.864154465906934,1.14817214493173,1.10861604884231,0.867872433451061,0.846317564721632,0.911424651616324,0.97617407859022,1.09176615159098,0.939448320600062
13,3,2,1,-0.980323818229684,0.438685898910894,0.257712921166234,-0.180972977744661,1,1,0,0,0,0.930759730686545,1.19604082909784,0.964577691859521,1.02402260339381,1.05791128440834,0.889174896803259,1.12803338201379,1.18659280478096,1.0994393986367,1.03432554315252,1.07539108966617,1.15557115081689,1.19844323565831,1.10630239902024,0.842061243676054,0.914677598211009
14,3,2,1,-0.937071942599012,0.462335883915864,0.285689429616135,-0.176646454299729,1,1,0,0,0,1.08299173795696,0.857195367800624,1.08852299117374,1.06510808522753,1.15035461171613,0.967765753872324,0.812445463441822,1.17789901674388,1.10007629150788,0.941903059660286,0.897009862885952,0.887266151474239,1.00036394016742,0.912364913050984,1.01856582992103,0.952681355115397
15,3,2,1,-0.852402661754633,0.325749831777703,0.163867357845444,-0.161882473932259,1,1,0,0,0,1.02191473022765,0.942754181735549,0.911674290751371,0.995646520676107,0.96798170352979,0.967835060772656,1.08630303514312,1.08770206653592,0.922600319645927,1.12516947683156,0.929652727331087,0.845506207928019,0.960020935366031,1.0480589272224,0.90035907628416,1.09890438392249
16,3,2,1,-0.923844643923723,0.305386235295197,0.139298651249543,-0.166087584045654,1,1,0,0,0,1.09346538230692,0.858735201945922,1.122576676124,1.09172632789903,1.16844573385537,1.03925603777342,0.841089035000986,0.911123244357472,0.809071509882272,0.852635925232609,1.03597514803982,0.874792907651432,1.13536964731744,1.09627329893846,0.902081319404999,0.857849653384008
17,3,2,1,-0.380095217288551,0.415863810613721,0.239261132972323,-0.176602677641398,1,1,0,0,0,0.893925394029069,1.10850579442468,1.0558144672629,0.984438754902527,0.8811655764856,1.13499125158466,0.886188566480827,0.923039105592292,0.86153078748242,0.9613906525893,1.19094006870499,1.02593895096152,1.05374370189152,1.13840940775523,1.11011820350972,0.825858191753908
18,3,2,1,-0.328753387406678,0.528826352332527,0.325389398958012,-0.203436953374515,1,1,0,0,0,0.985798964462197,0.824009436735213,1.18249000484552,1.09087742403781,0.868105608201328,0.995368900081676,0.938534092293786,1.14140887229969,1.05959105176857,0.983538176417791,0.849455754849216,1.05016642961222,0.858642310249595,0.964334593117953,1.09237334918978,0.84971204210046
19,3,2,1,-1.08651072633391,0.202330455089376,0.0881378981596176,-0.114192556929758,1,1,0,0,0,1.1025195604482,0.898890220843982,0.960201042233666,1.11926208679478,0.882694933921654,1.02487773423572,1.00495877801167,0.807690852445036,1.03889383254691,1.15946187172858,0.992730015799936,0.887711946473098,1.02627385644937,1.08380181521904,0.900657917725534,0.856813272871868
20,3,2,1,-0.937024091377332,0.410186364211855,0.262237925485531,-0.147948438726324,1,1,0,0,0,1.03798468371359,0.962096397658352,1.06714698732131,0.996217942677581,1.05719976072982,0.858453546723884,0.949465983380887,1.02117678826002,1.12769500253154,0.972787877267715,0.881896996482876,1.06085584071589,0.986904550883014,0.963219645225518,1.09852590756392,1.0906111046801
21,3,2,1,-0.739876213069518,0.322709859666084,0.178984427722583,-0.143725431943501,1,1,0,0,0,1.17733610169469,1.13935270269339,1.00735657770322,1.15273640870672,1.14467499401419,1.0890623488282,0.881414408536809,1.06823489541796,1.01606654211181,0.973281127629472,0.82224624972055,0.807397405599959,0.84294551240082,1.0566784470327,0.949140841201996,1.19813960783595
22,3,2,1,-0.368882089294864,0.401942250831239,0.207112217889028,-0.194830032942211,1,1,0,0,0,0.969453443158916,1.03235573120643,0.99117250444659,0.887101376661365,1.13755327058408,1.17849631122336,0.843263304866903,1.10367959213377,0.849784475640094,1.07564652658417,0.850122584855008,1.03854302353458,0.840719403294638,1.09049433557494,0.977178693823432,0.832445540682603
23,3,2,1,-0.899067559050971,0.430210168168643,0.263156067480462,-0.167054100688181,1,1,0,0,0,0.999285551858853,1.03783272159282,1.13701754794685,0.82348248091557,1.12044099506976,0.819924209825795,0.833102952477631,1.00093665430014,1.19053818594011,1.13380276682984,0.947782262057438,0.98111120257361,0.985463017561055,1.04463836338768,0.845610731457977,1.13440304362305
24,3,2,1,-0.796636902792366,0.457155492629901,0.286520025232232,-0.170635467397669,1,1,0,0,0,1.18604109232288,1.0667446448772,1.16847351481285,0.878522775386563,0.804189357209462,0.853601731103432,0.957136100993779,1.09828877923847,0.893981688134878,1.08921318774824,1.18878869348096,1.17384932189846,1.16527263621154,1.05927919484251,1.17695392951936,1.17381613249489
25,3,2,1,-0.905975790537609,0.280904964796131,0.16270677530705,-0.118198189489081,1,1,0,0,0,0.996421541122977,1.06595795144991,0.866732217411326,1.11524159158649,0.920062212719405,0.896788803719246,1.12098249030912,0.995763078107679,1.19496828413118,1.09397336657882,1.18446381556661,1.04907753602307,1.08719105744602,1.19317936438278,0.877342573534824,1.01165230610089
26,3,2,1,-0.781079211558628,0.339547803937976,0.191413764981343,-0.148134038956633,1,1,0,0,0,1.05338933667718,0.983196415630821,1.05797564396346,0.95555251540131,0.89641011214397,1.13279270411043,1.05201202547019,0.947536516446267,1.04328182089719,1.11079340153616,1.0218743016765,1.0318802027887,0.891243821812951,1.00004078759506,0.884813103516085,0.803703752342618
27,3,2,1,-1.13623364968365,0.427715253296017,0.247057142819867,-0.18065811047615,1,1,0,0,0,1.06006104002223,1.19103251820163,1.02763117085762,0.87199431370647,1.08188250459516,1.1719301814032,0.911363695323908,1.124601957181,0.853559246021301,1.1812442097712,1.11294802846985,1.16212018224458,1.11593855411345,0.949199103037203,0.953465628015226,1.13290742781817
28,3,2,1,-1.44484121782524,0.457055308589571,0.300078490102503,-0.156976818487068,1,1,0,0,0,1.09945107727181,1.08897491691808,1.07154191964114,0.954075011937081,1.10606445218999,0.979519133364904,1.05678803381205,1.13261956468058,1.11326131839708,1.07273017316311,0.920803667377471,1.02378887993283,1.14054848655475,0.863585158419291,1.08323241482178,1.1675689627339
29,3,2,1,-1.07902445224869,0.416053965326598,0.269707256524541,-0.146346708802057,1,1,0,0,0,0.928893310752938,1.02558968860487,1.0995596629014,0.850128342608228,1.01657815333167,1.04270130536861,1.00144781958771,0.838530506348317,1.00621623745977,0.862460917343507,1.05926112329351,1.08854348712039,0.945206848224309,0.822618918135323,1.12962460841728,1.08034214045082
30,3,2,1,-1.13734969432106,0.330372029666801,0.160939838816179,-0.169432190850622,1,1,0,0,0,1.13101792012518,1.18297711466392,1.18383207459704,1.19049767227748,1.13091353939995,1.10177768356966,1.0353969940631,0.954191615332867,0.962028746076419,0.913147137222939,0.845769682086116,1.16998796434394,1.04946388608206,1.02819566531252,0.860101351069279,1.02159961698644
31,3,2,1,-1.00464308463048,0.465504819187039,0.277642171489844,-0.187862647697195,1,1,0,0,0,1.09122496103641,0.880463899935659,1.17578107828327,0.929369731802702,1.13678648204374,1.0757401803053,0.971648836223518,1.10182096210116,1.12277441006447,1.02523771577698,0.904447431336579,0.852426782277413,0.872761000707143,0.842359588754031,0.817089369038913,1.14447487878199
32,3,2,1,-1.28806409563468,0.264662427367304,0.140838009383399,-0.123824417983905,1,1,0,0,0,1.07248733666123,0.895551242640796,0.985716967676054,1.07862112837241,1.1308447622357,1.08281136217122,0.899176575374972,0.842023464722682,1.11747479310491,0.974504894369657,0.921254531798404,1.02560191095542,1.18506438788192,1.14487842493786,0.871474057068915,0.904676613562762
33,3,2,1,-0.396623817510316,0.524652675944507,0.29163004277098,-0.233022633173527,1,1,0,0,0,0.931235004171036,0.936645566741058,1.19282695947458,0.940324063161357,0.916616738509243,1.12845172389001,1.18104988034239,1.07432653696706,0.843849478062038,0.820041175243604,0.982909049907663,0.975317825764954,0.983241053057819,1.15859335274302,0.882501553049504,1.10934645534381
34,3,2,1,-0.921923544489811,0.257889307608688,0.106877587160103,-0.151011720448584,1,1,0,0,0,1.09034571033192,1.1604316047164,1.13089086086195,1.16224726485553,0.876430974725674,1.0540777558099,1.08201394288637,0.863961522576934,0.853815854837422,1.18329542195297,1.17865261438976,0.810762262819684,0.971572173483833,0.893195419151639,0.937989160074186,0.896081524827151
35,3,2,1,-0.919340113154963,0.329834203207743,0.183092919857359,-0.146741283350384,1,1,0,0,0,0.950329341321447,0.946839569231789,0.970096936296857,0.805299613877901,1.05054966239895,0.946273359038806,0.95192441312241,0.902225278464073,1.02660646396231,1.02408727205492,0.893991928001611,0.853384606909245,0.811903060618944,0.857429110562652,0.956661822528818,0.964508653041766
36,3,2,1,-0.355154019955149,0.39425403299973,0.153793946877337,-0.240460086122393,1,1,0,0,0,0.829680946628864,1.10609078933659,1.07360931112884,1.16069324703659,0.854759531409935,0.936552170483993,0.966882204737809,1.07011338018033,0.823829792813082,1.02140253770316,0.945712722402961,0.870448204930223,0.9445668027226,1.16292357325618,0.863163181841308,0.980571263132407
37,3,2,1,-0.889489570764986,0.33183907249822,0.173685863805811,-0.158153208692409,1,1,0,0,0,0.964252108841852,1.12203980689194,0.809554237626698,0.970327744605756,1.11583049840316,1.06252775982886,1.11244985384903,1.12777353154057,0.89252860825842,0.817364266495344,0.914918006981589,0.98772197711317,1.08355514437665,1.04343757346982,1.04767748532981,0.838585021398942
38,3,2,1,-0.227746414818017,0.590420843137724,0.395237242583565,-0.195183600554158,1,1,0,0,0,0.831437357465584,0.848476400250181,1.04107103566421,0.850242138152745,0.928167753458124,1.07852540307544,1.10196290161458,1.12203273865779,1.17488953577454,0.922891819292573,1.11060001723629,0.880780746637935,0.84475352749025,1.07126796672952,0.853528939862161,0.949793718155614
39,3,2,1,-0.396663745622114,0.396111106137294,0.266284042167903,-0.129827063969391,1,1,0,0,0,1.12690300317687,1.17559301104398,1.18173602444123,0.843290616954514,1.14282592251672,0.987346030418726,1.08266655070925,0.867097768843839,1.0451742783854,0.928437520401503,1.07419565687879,0.973266729051557,0.838675113870533,1.14632884774777,1.12958329803638,0.998449110256177
40,3,2,1,-0.837992367050698,0.372825951208512,0.198743356680341,-0.174082594528172,1,1,0,0,0,1.05809180948447,0.955664362682256,1.17056116182953,0.950283727735925,0.891890056971852,0.9958558365585,1.17997765516248,0.962989927355937,0.942866185896528,1.15525984726965,0.885792718335195,0.882066241191398,0.968923554896636,0.929226492312302,1.02999676315909,0.87221567286969
41,3,2,1,-1.2212297000237,0.289297626097376,0.142053397905128,-0.147244228192248,1,1,0,0,0,1.1957289645597,0.915762230287511,1.09835878367083,1.1073145923216,0.889598531224031,0.856162394927173,0.83290268525262,0.996808101420459,1.00664938986886,1.06962420305442,1.09031471607464,1.01692616433359,0.875391634529627,0.804509570154592,0.817916176673824,1.00615610445883
42,3,2,1,-0.84009948843019,0.415516903007676,0.232922662320091,-0.182594240687586,1,1,0,0,0,0.995377143760858,0.897683503344362,1.05388718094243,1.07832122324026,0.939107638612429,0.885400602776058,0.992802905331254,1.12705150216688,1.07640869278623,1.05374453665636,1.02926887137277,0.930963203936871,1.00720260321234,0.969078383004715,0.884985495947302,0.833379927862687
